id;name;color;description;category;brand;wholesale_price;image_url
42574;High heels  ;grey;Beautiful stilettos on non-slip sole. Smooth, lacquered and very sensual. They will be a perfect complement to your stylisation. Leg looks insanely in them. This model is quintessence of femininity.;High heels;Heppin;10.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_96258.jpg
42579;High heels  ;black;Beautiful stilettos with an incredibly shapely design. Timeless cut will emphasize class and style of their future owner. They have a lacquered surface, broken with translucent mesh inserts, which sensually expose the foot. The sole is made of non-slip rubber ensuring comfort of a stable step. An exceptional model for exceptional women....;High heels;Heppin;10.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_96278.jpg
36709;Eskimo boots  ;black;;Women`s Ankle Boots & Booties;Heppin;10.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_82439.jpg
38032;Slip-On Sneakers  ;black;Cult slip-on sneakers in a version with a thicker sole and hologram inserts. Made of eco leather imitating snake skin. The sole is thick but very flexible and works well under foot. The most desired model of this season.  Material- ecological leather  ;Women`s Athletic Shoes, Trainers, Sneakers;Heppin;17.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_85166.jpg
188001;Slippers  ;black;Elegant women's slippers made of black fur.;Slippers for Women;Top Secret;8.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_1002657.jpg
188002;Slippers  ;beige;Warm women's slippers made of artificial fur.;Slippers for Women;Top Secret;7.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_1002659.jpg
188003;Slippers  ;pink;Warm pink women's slippers with decorative hearts.;Slippers for Women;Top Secret;8.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_1002661.jpg
147288;Slippers  ;grey;Grey slip-on slippers with a non-slip sole. Made of fluffy fabric with zebra motif. The slippers have sewn-on ears and embroidered sleeping eyes. Outsole: TPR.;Slippers for Women;Henderson;8.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_886664.jpg
147292;Slippers  ;grey;You will have a wonderful evening in these slippers! These are very soft, fluffy slippers in a pretty gray color, the front of which is styled with a sweet teddy bear muzzle. Sewn-on ears, an embroidered nose and sleeping, closed eyes... The latest proposition from Henderson Ladies brand. You can also match the slippers with Whistle dressing gown from the same line. Anti-slip sole. Composition: bottom (sole) 100% TPR.;Slippers for Women;Henderson;9.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_886669.jpg
161254;Slippers  ;grey;High quality slip-on slippers from the Ziggy line by Henderson Ladies. Made of soft fabric with a sweet, sleeping teddy bear motif. Embroidered eyes and nose. Comes with pompom ears. Soft grey colouring. Strong, high quality sole.;Slippers for Women;Henderson;9.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_924174.jpg
161255;Slippers  ;black;Classic slippers made of soft, slightly plush fabric in black colour. Open cut, very comfortable. High quality sole.;Slippers for Women;Henderson;7.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_924175.jpg
161256;Slippers  ;grey;High quality slip-on slippers from the Zaine line by Henderson Ladies. Made of soft fabric with a sweet little roe deer motif. The slippers are embroidered with sweet ears, eyes and nose. Soft colours throughout. Sturdy, high quality sole.;Slippers for Women;Henderson;9.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_924176.jpg
161257;Slippers  ;pink;Classic slippers made of soft, slightly plush fabric in a pleasant light pink colour. Open cut, very comfortable. High quality sole.;Slippers for Women;Henderson;7.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_924177.jpg
148083;Heel boots  ;brown;Women's boots in military style. This is an original model with a high upper, which is wrapped with straps with buckle and studs. If you love military style, these boots are made for you! A wide 4,5 heel ensures comfort and a zipper on the side of the upper ensures comfort of putting them on. They are made of ecological leather in an effective, mat finish.;Women`s Ankle Boots & Booties;Inello;35.9;http://srv0.matterhorn-wholesale.com/db_images/custom900x1200_888929.jpg
